
16,0,2,0,0,0,0,0
45,7,2,0,0,0,0,0
51,9,5,0,0,0,0,0
51,8,16,7,5,0,0,0
48,7,25,29,16,0,0,0
44,5,35,43,26,4,1,0
41,4,40,51,34,11,4,0
37,3,42,54,38,14,6,0
33,2,45,57,41,18,6,1

62,12,2,10,2,0,0,0
71,14,2,17,4,0,0,0
71,16,4,29,14,0,0,0
68,17,8,44,28,1,2,0
62,16,16,55,48,15,13,0
57,18,23,66,58,28,18,2
51,18,28,72,65,34,22,3
46,16,31,76,67,36,24,4
41,15,33,78,69,37,24,4

22,28,14,36,40,14,19,3
30,37,28,64,63,34,32,10
30,37,35,72,74,41,40,14
30,37,35,72,74,41,40,14
27,34,37,82,77,43,43,17
24,31,37,88,79,44,45,18

18,8,9,31,48,27,18,3
20,14,21,56,72,42,34,11
18,18,27,74,86,54,47,20
16,21,33,85,92,64,53,27
15,24,35,89,95,66,57,30
13,22,36,90,95,64,58,29

7,7,6,49,59,32,25,13
7,8,10,57,69,37,33,16
6,7,13,64,76,44,41,22
5,6,15,72,83,50,47,25
4,5,17,76,87,52,50,26
3,4,18,79,89,52,53,28

14,6,41,51,52,7,24,3
11,5,46,55,55,13,27,4
8,4,47,57,57,13,30,4
6,4,47,58,59,12,31,4
4,3,48,59,60,14,30,3

15,14,6,39,61,34,25,4
15,15,8,44,74,46,33,9
14,14,10,50,82,54,40,14
13,15,11,53,85,58,43,16
11,16,11,55,86,61,45,18
9,14,10,56,87,63,47,19
8,14,9,56,89,64,49,19

5,12,8,55,90,66,52,18

26,1,4,37,59,40,40,14
70,5,6,42,68,46,45,21
78,8,9,51,72,53,49,28
80,9,11,53,75,54,51,32
79,8,13,55,76,56,53,34
76,6,12,54,79,60,54,34

12,3,12,51,46,37,31,8
14,3,15,58,59,49,44,18
13,4,17,64,66,54,49,25
12,4,19,66,70,56,51,30
13,4,20,67,74,56,56,32
16,3,22,69,75,59,60,35
15,2,22,71,76,62,62,39
14,1,22,72,76,63,63,41
12,1,22,73,76,65,64,42
10,0,21,72,77,66,65,43
9,0,20,72,78,66,65,44
7,0,20,73,80,67,65,44

22,2,2,31,58,33,14,4
39,5,3,41,69,45,31,13
35,7,9,47,76,51,36,20
32,7,14,53,80,55,41,27
29,7,16,57,85,59,47,31
26,6,17,60,87,63,50,34
24,5,16,60,89,65,54,35

32,0,10,41,51,42,46,20
31,1,12,56,66,61,62,34
28,1,17,63,75,69,67,41
25,1,18,67,80,73,70,44
23,0,19,65,82,73,74,44

13,7,11,52,66,50,55,24
47,12,15,62,76,57,62,31
59,13,19,70,82,70,67,37
58,13,22,74,89,74,71,41

21,10,10,49,62,54,51,31
78,19,18,63,76,63,65,43
76,20,21,73,86,71,75,52
72,19,22,76,90,72,78,54
67,16,23,79,92,73,79,54

17,2,1,42,49,25,16,3
34,13,9,56,68,45,42,17
61,22,17,69,80,61,61,31
68,28,21,76,87,66,67,39
66,32,27,79,91,72,72,45
62,30,28,80,94,75,73,46

33,12,12,54,61,38,40,27
91,49,24,72,77,53,53,35
95,50,33,79,84,60,62,39
94,47,39,83,87,65,65,44
90,44,43,87,91,67,68,48
84,39,43,90,93,70,71,48

18,3,4,34,35,16,24,9
35,13,15,60,65,41,40,22
53,18,24,76,79,53,56,35
51,19,28,83,87,61,62,41
50,19,31,86,92,67,65,44

33,12,12,52,53,36,41,21
43,14,23,68,67,50,51,29
41,13,29,77,75,56,60,33
37,12,35,80,82,59,62,35

23,9,9,38,54,34,27,7
74,16,13,44,68,44,32,11
71,17,13,51,76,50,37,13
66,15,14,55,81,51,37,14

16,1,1,10,55,23,26,5
32,3,10,37,79,43,46,15
38,6,16,51,88,55,58,21
38,9,20,60,93,62,65,26
35,9,21,65,96,64,65,30
33,9,22,66,98,66,65,31
33,8,22,67,99,67,65,31
39,6,20,67,98,67,64,31

32,9,22,44,41,27,27,18
38,19,29,61,58,48,49,26
38,20,36,70,69,57,54,33
36,20,41,75,73,59,59,36
33,18,45,77,77,60,60,38
31,15,48,78,80,62,62,39
27,12,49,79,82,64,63,39
24,9,51,81,84,65,64,38

7,3,38,46,39,8,18,1
9,3,47,57,47,17,24,1
9,2,54,64,52,22,26,1
8,1,61,66,53,24,26,1

11,7,45,47,26,24,28,2
15,9,57,67,39,40,38,4
19,10,65,74,44,47,42,7
20,9,71,76,48,49,43,8

22,7,12,44,59,42,43,11
28,14,20,69,78,59,56,27
29,20,28,78,86,72,69,38
29,20,31,83,94,79,74,44
29,21,31,87,97,81,78,47
28,20,32,87,99,80,79,46

26,17,17,63,72,51,41,8
47,20,23,71,78,57,49,18
48,17,34,75,81,63,51,22

14,1,40,37,25,0,8,0
19,5,53,56,46,7,19,3
21,8,60,65,62,14,26,8
21,7,65,70,71,18,33,14
20,7,67,73,75,21,35,18
19,6,70,76,77,23,40,21
16,5,72,79,77,24,43,22
13,4,73,81,78,25,45,21

27,7,49,59,52,2,28,6
32,10,58,66,60,5,36,9
28,8,68,73,67,8,42,12
24,7,74,78,69,9,45,11

10,3,49,57,33,1,23,0
15,5,58,65,50,5,30,5
15,7,63,72,61,11,37,8
13,7,67,79,71,14,43,11
13,7,67,79,71,14,43,11
11,6,71,82,75,17,46,13
9,6,71,82,77,17,46,13

16,3,58,59,38,0,18,0
20,5,68,71,48,4,30,1
20,6,76,77,54,8,35,4
19,7,80,79,57,10,36,5

15,3,37,44,44,31,15,1
37,8,48,69,67,51,35,6
44,10,55,80,76,61,47,12
42,8,60,87,81,66,52,16

14,0,11,61,56,28,10,1
17,9,17,66,76,51,34,6
19,14,22,76,85,59,45,11
17,15,26,83,93,67,51,15
17,15,26,83,93,67,51,15
16,14,27,86,97,72,53,16
16,14,28,89,100,75,55,18

19,10,3,45,75,35,22,1
27,19,15,59,89,56,35,5
27,21,23,69,96,64,42,8
26,21,28,75,99,67,45,10
24,20,28,80,103,70,47,12
21,18,29,82,106,70,49,14
20,16,30,82,107,71,50,14

15,4,5,39,72,59,49,11
18,10,11,58,91,68,57,18
19,13,16,67,98,72,62,23
19,15,21,73,103,75,66,26
18,14,23,76,105,75,67,28
16,13,24,78,106,75,67,28

13,4,6,40,68,47,23,1
21,15,15,52,81,58,38,9
27,22,17,59,87,63,45,13
27,22,22,66,93,69,47,15
26,20,24,71,98,73,48,17
24,18,25,73,101,74,49,17

14,4,6,38,75,45,32,7
15,8,13,51,86,52,38,11
14,10,16,62,93,61,44,14
13,9,17,66,96,64,47,16
11,8,17,68,98,63,47,17

0,0,0,15,54,48,31,4
0,1,1,25,67,58,41,8
0,4,3,34,75,66,47,13
0,5,4,35,77,72,53,21
0,5,6,36,79,73,56,25
0,4,6,36,80,75,61,29
0,3,6,36,81,76,63,31

0,0,3,28,78,77,66,36
0,0,3,26,79,77,68,37

0,0,0,11,71,68,56,21
0,0,0,13,71,68,57,22
0,0,0,15,72,67,58,22
0,0,0,17,72,66,59,22
0,0,0,20,73,67,60,21
0,0,0,21,74,69,61,21
0,0,0,22,74,69,60,20
0,0,0,23,74,70,60,21

15,1,35,49,56,43,32,3
12,1,37,48,58,47,35,2
9,0,39,48,60,49,38,4
7,0,40,50,60,50,41,4
5,0,40,52,61,51,43,5
4,0,40,50,61,53,44,5
3,0,39,50,62,52,45,5

0,0,36,50,62,46,46,3
0,0,37,50,61,46,46,4
0,0,38,50,61,45,46,4
0,0,39,50,60,45,46,4
0,0,37,49,60,46,48,4
0,0,37,49,61,46,49,4
0,0,37,49,61,47,49,4

7,3,5,29,72,43,29,3
6,3,6,35,77,51,37,7
5,4,8,38,80,60,42,10
5,3,9,40,80,63,44,12
5,2,10,42,80,66,47,14
4,2,10,43,82,67,48,14

3,1,9,44,83,69,49,16

15,5,38,54,53,35,17,1
14,5,43,60,60,49,26,2
13,5,48,63,63,52,26,3
11,4,50,64,63,54,27,2
9,3,52,64,62,56,28,3

14,8,18,58,60,30,28,7
15,11,22,63,68,40,37,13
13,9,23,68,73,49,46,21
11,8,24,70,77,54,51,27
8,7,23,72,82,58,53,31
6,5,22,73,83,59,58,33
4,3,20,73,87,62,58,35
3,1,19,74,90,64,59,35

5,0,4,52,74,56,41,16
5,0,7,57,80,63,51,19
5,0,10,58,85,67,55,20
5,0,10,59,88,69,55,19
5,0,10,60,89,69,55,20
4,0,9,62,90,70,54,20
4,0,8,63,92,71,55,20

5,0,4,46,66,48,38,12
6,0,7,55,75,56,46,18
7,1,9,58,81,59,49,22
6,0,9,62,85,67,53,23
5,0,8,64,88,68,53,25
4,0,9,64,88,68,53,25
4,0,9,64,88,68,53,25

9,1,43,56,47,38,14,0
9,2,47,58,54,46,19,0
10,3,48,59,56,51,21,1
17,3,47,59,56,53,23,2
24,2,46,58,56,55,22,1
28,1,44,58,57,55,22,2

8,0,2,44,49,30,34,10
10,0,8,57,68,51,49,22
9,0,16,66,78,61,57,31
7,1,19,69,84,66,61,35
6,1,22,74,90,70,64,37
4,1,25,77,94,75,67,39
3,1,27,78,95,76,65,37

17,9,10,53,76,58,41,13
17,12,12,54,78,63,47,20
17,12,15,57,81,66,53,25
15,11,18,62,86,71,57,27
14,11,21,66,89,73,59,27
11,11,22,69,92,73,60,27

22,18,8,42,69,36,29,10
21,22,14,49,81,49,41,16
19,21,21,64,91,62,48,23
17,19,23,70,94,66,52,25

13,6,6,30,61,33,23,3
16,17,14,47,76,48,31,9
20,22,19,58,88,55,36,14
21,26,23,65,94,62,42,18
23,27,25,69,98,63,46,21
